shift,delta,n_cell,is_observed
118533,1.0446650364542377e-06,277,False
97920,0.0008458790741711291,191,False
11296,0.0008125505783471172,211,False
44633,0.0001366864171066324,179,False
27409,0.0006484869311900933,226,False
113681,-0.00047695146519790156,177,False
5528,0.00043214912740631363,202,False
31379,-0.0003234398233538091,195,False
92437,0.0005128112068117865,204,False
107484,0.0011109039587196426,230,False
77887,0.000685823953011766,186,False
133129,0.0007549450495339368,257,False
142128,0.00017858674574888715,206,False
20513,0.00033421465471727193,222,False
147317,6.424712232513651e-05,256,False
95055,0.00018686881635468126,177,False
98430,0.0013754985593251513,198,False
14794,0.0003744045596131495,204,False
96213,0.00025610730305769005,195,False
112263,-0.0002627262876401821,193,False
89863,1.762212895060239e-05,251,False
13155,0.0009452957483160494,219,False
80966,-0.0010489169623866107,200,False
144755,0.0012912652727322409,240,False
111907,-0.0007555851672120904,228,False
21333,0.0010042975636673237,210,False
148465,0.0010143298017664436,213,False
148301,0.00052860571431348,219,False
26277,0.0008430830464647713,257,False
123881,0.0006747539350601795,198,False
62958,-1.1407497864998042e-05,158,False
91856,0.0012467529798454195,241,False
68904,0.0010300924734797504,195,False
121059,0.0006399030268483775,209,False
154140,0.001449756123901217,235,False
122989,1.9400649629018165e-05,212,False
144049,0.0019728424346534866,225,False
146314,0.00041270808259513084,228,False
14022,0.0008430580229860904,214,False
39259,0.0006833817348718437,191,False
111666,0.00046689364131847187,215,False
91298,-0.00044153525954582435,225,False
7846,0.0005203930980606285,222,False
14786,-0.0001736677885462728,207,False
80552,-0.0005525208513615877,217,False
95331,0.0004184106609198604,216,False
26018,0.0005696614911470561,255,False
26570,0.0008519792937976382,245,False
20086,0.00034996479912317814,198,False
87415,0.0007049941502301827,188,False
1309,0.0016178949703283833,280,False
88571,-0.0004538508886587871,214,False
73656,-0.0008383029638020206,172,False
72119,-0.0010818759400401652,163,False
105085,0.00021394659201946344,176,False
80874,-0.0007967084532017082,191,False
112577,-0.0012284059380148107,207,False
118168,0.0007902839325470127,216,False
142310,0.00011917300096526676,182,False
123628,0.0018564435137042286,220,False
80113,-0.00014087410028812024,221,False
76163,0.0006089097357559631,189,False
36527,0.0007105486669519602,183,False
92769,4.345411976293558e-05,173,False
21600,-1.2401729541756763e-05,200,False
144028,0.0019653932496947095,225,False
130706,0.0007332433423890413,230,False
18602,0.00027281523981239155,192,False
121574,0.00023943422779967692,211,False
18195,-0.0001564436040848763,191,False
111569,0.000561940961363723,199,False
13652,3.692496800626881e-05,210,False
75551,-0.0006931942873567454,185,False
101776,0.0010837177055424436,168,False
112741,0.0008474724131166925,172,False
64796,7.370589401219002e-05,172,False
142543,0.0004137861500252682,216,False
119775,0.0002954886904724457,195,False
32285,0.00019887403503582768,186,False
103842,0.0013188314850489098,210,False
113008,0.0001483956121824639,201,False
51663,0.0005127391735988302,182,False
114197,-0.00048403465346324494,208,False
138948,0.0008094320196022131,200,False
126390,-0.0003643665704074544,187,False
117953,0.0015556640438932133,217,False
98164,0.0006602798162953607,203,False
41910,0.00021004450905978827,168,False
123006,-0.00011868402154671608,217,False
56385,-0.0013010332482531963,194,False
82352,-0.00021415415072940675,234,False
48696,-0.00114022637454428,182,False
48476,-9.971285297332009e-05,230,False
24456,0.0007454846219541408,222,False
148675,0.001294258766451068,231,False
22937,-0.00047386775300640245,207,False
13428,0.0010573620592738981,207,False
144784,0.0011796197215930007,188,False
85879,-0.00034184866626483016,262,False
67778,0.001802838963375821,188,False
114083,-0.0007536528739375029,212,False
59342,0.0005604535149322519,199,False
19867,0.0006864326179945378,182,False
112876,0.0008400757701702778,202,False
27298,0.0005459778235978246,210,False
85567,-0.0004754913687521887,210,False
146784,0.0005226142724223598,230,False
144786,0.001355186972208122,204,False
