dgp,scenario,frequency,observations,assets,weighting,model,repetitions,raw_false_positive_rate,raw_wilson_ci_lower,raw_wilson_ci_upper,bh_false_positive_rate,bh_wilson_ci_lower,bh_wilson_ci_upper,fpr_classification
common_factor,n14_daily_equal,daily,1826,14,equal,standard_csad,300,0.0,8.673617379884035e-19,0.012642971224546034,0.0,8.673617379884035e-19,0.012642971224546034,within_preregistered_tolerance
common_factor,n14_daily_equal,daily,1826,14,equal,no_intercept_csad,300,1.0,0.9873570287754538,0.9999999999999998,1.0,0.9873570287754538,0.9999999999999998,materially_inflated
common_factor,n14_daily_equal,daily,1826,14,equal,scsad,300,1.0,0.9873570287754538,0.9999999999999998,1.0,0.9873570287754538,0.9999999999999998,materially_inflated
common_factor,n14_daily_equal,daily,1826,14,equal,intercept_restored,300,0.0,8.673617379884035e-19,0.012642971224546034,,,,diagnostic_only
common_factor,n14_weekly_equal,weekly,261,14,equal,standard_csad,300,0.023333333333333334,0.011347660299125234,0.04737197226827532,0.023333333333333334,0.011347660299125234,0.04737197226827532,within_preregistered_tolerance
common_factor,n14_weekly_equal,weekly,261,14,equal,no_intercept_csad,300,1.0,0.9873570287754538,0.9999999999999998,1.0,0.9873570287754538,0.9999999999999998,materially_inflated
common_factor,n14_weekly_equal,weekly,261,14,equal,scsad,300,1.0,0.9873570287754538,0.9999999999999998,1.0,0.9873570287754538,0.9999999999999998,materially_inflated
common_factor,n14_weekly_equal,weekly,261,14,equal,intercept_restored,300,0.02666666666666667,0.01357306980864708,0.05172894295058982,,,,diagnostic_only
common_factor,n14_daily_lagged,daily,1826,14,lagged_lognormal_liquidity,standard_csad,300,0.0,8.673617379884035e-19,0.012642971224546034,0.0,8.673617379884035e-19,0.012642971224546034,within_preregistered_tolerance
common_factor,n14_daily_lagged,daily,1826,14,lagged_lognormal_liquidity,no_intercept_csad,300,1.0,0.9873570287754538,0.9999999999999998,1.0,0.9873570287754538,0.9999999999999998,materially_inflated
common_factor,n14_daily_lagged,daily,1826,14,lagged_lognormal_liquidity,scsad,300,1.0,0.9873570287754538,0.9999999999999998,1.0,0.9873570287754538,0.9999999999999998,materially_inflated
common_factor,n14_daily_lagged,daily,1826,14,lagged_lognormal_liquidity,intercept_restored,300,0.0,8.673617379884035e-19,0.012642971224546034,,,,diagnostic_only
common_factor,n14_weekly_lagged,weekly,261,14,lagged_lognormal_liquidity,standard_csad,300,0.023333333333333334,0.011347660299125234,0.04737197226827532,0.023333333333333334,0.011347660299125234,0.04737197226827532,within_preregistered_tolerance
common_factor,n14_weekly_lagged,weekly,261,14,lagged_lognormal_liquidity,no_intercept_csad,300,1.0,0.9873570287754538,0.9999999999999998,1.0,0.9873570287754538,0.9999999999999998,materially_inflated
common_factor,n14_weekly_lagged,weekly,261,14,lagged_lognormal_liquidity,scsad,300,1.0,0.9873570287754538,0.9999999999999998,1.0,0.9873570287754538,0.9999999999999998,materially_inflated
common_factor,n14_weekly_lagged,weekly,261,14,lagged_lognormal_liquidity,intercept_restored,300,0.02,0.009197631557703617,0.042939620817860576,,,,diagnostic_only
common_factor,n50_daily_equal,daily,1826,50,equal,standard_csad,300,0.0,8.673617379884035e-19,0.012642971224546034,0.0,8.673617379884035e-19,0.012642971224546034,within_preregistered_tolerance
common_factor,n50_daily_equal,daily,1826,50,equal,no_intercept_csad,300,1.0,0.9873570287754538,0.9999999999999998,1.0,0.9873570287754538,0.9999999999999998,materially_inflated
common_factor,n50_daily_equal,daily,1826,50,equal,scsad,300,1.0,0.9873570287754538,0.9999999999999998,1.0,0.9873570287754538,0.9999999999999998,materially_inflated
common_factor,n50_daily_equal,daily,1826,50,equal,intercept_restored,300,0.0,8.673617379884035e-19,0.012642971224546034,,,,diagnostic_only
