dataset_id,frequency,period,market_return,lagged_realized_volatility,historical_low_threshold,historical_high_threshold,volatility_regime
cmc_fixed62_historical_current,daily,2018-04-13 00:00:00+00:00,0.00035889850490756516,0.05322909740929445,,,
cmc_fixed62_historical_current,daily,2018-04-14 00:00:00+00:00,0.011832889983739063,0.04910630204226377,,,
cmc_fixed62_historical_current,daily,2018-04-15 00:00:00+00:00,0.05548294102917942,0.0491738880405128,,,
cmc_fixed62_historical_current,daily,2018-04-16 00:00:00+00:00,-0.02781977329746955,0.05027474743078363,,,
cmc_fixed62_historical_current,daily,2018-04-17 00:00:00+00:00,-0.01337158567738389,0.04897021378724501,,,
cmc_fixed62_historical_current,daily,2018-04-18 00:00:00+00:00,0.05830173079116277,0.048897529307070677,,,
cmc_fixed62_historical_current,daily,2018-04-19 00:00:00+00:00,0.04617420047348652,0.0484794624097607,,,
cmc_fixed62_historical_current,daily,2018-04-20 00:00:00+00:00,0.08615347412481277,0.04902744514109625,,,
cmc_fixed62_historical_current,daily,2018-04-21 00:00:00+00:00,-0.012441267427043295,0.05145183695814741,,,
cmc_fixed62_historical_current,daily,2018-04-22 00:00:00+00:00,0.003623066886364956,0.05120139965620927,,,
cmc_fixed62_historical_current,daily,2018-04-23 00:00:00+00:00,0.03493990677724031,0.05119871389587513,,,
cmc_fixed62_historical_current,daily,2018-04-24 00:00:00+00:00,0.08433663988310114,0.051306515303342404,,,
cmc_fixed62_historical_current,daily,2018-04-25 00:00:00+00:00,-0.11540060382811651,0.05312539268320642,,,
cmc_fixed62_historical_current,daily,2018-04-26 00:00:00+00:00,0.0677690014446414,0.056800046225087386,,,
cmc_fixed62_historical_current,daily,2018-04-27 00:00:00+00:00,-0.030330175949490897,0.056596207886340774,,,
cmc_fixed62_historical_current,daily,2018-04-28 00:00:00+00:00,0.05702403429867671,0.057096236738254466,,,
cmc_fixed62_historical_current,daily,2018-04-29 00:00:00+00:00,0.021300100082382246,0.052284240878846,,,
cmc_fixed62_historical_current,daily,2018-04-30 00:00:00+00:00,-0.03701068120147957,0.05187881260872114,,,
cmc_fixed62_historical_current,daily,2018-05-01 00:00:00+00:00,0.001404977216902264,0.05277936892438341,,,
cmc_fixed62_historical_current,daily,2018-05-02 00:00:00+00:00,0.022540474123370128,0.05209813832125169,,,
cmc_fixed62_historical_current,daily,2018-05-03 00:00:00+00:00,0.05465682884532626,0.05198422556744165,,,
cmc_fixed62_historical_current,daily,2018-05-04 00:00:00+00:00,-0.002961950667489383,0.05151618152491898,,,
cmc_fixed62_historical_current,daily,2018-05-05 00:00:00+00:00,0.027612985763422047,0.047305266557947874,,,
cmc_fixed62_historical_current,daily,2018-05-06 00:00:00+00:00,-0.02340762555294285,0.0472157111078615,,,
cmc_fixed62_historical_current,daily,2018-05-07 00:00:00+00:00,-0.0365474904449319,0.04686111244382892,,,
cmc_fixed62_historical_current,daily,2018-05-08 00:00:00+00:00,-0.012183443012144298,0.047830188671391126,,,
cmc_fixed62_historical_current,daily,2018-05-09 00:00:00+00:00,-0.00012739343178520834,0.04811371862235,,,
cmc_fixed62_historical_current,daily,2018-05-10 00:00:00+00:00,-0.04255259223703641,0.04757221602909349,,,
cmc_fixed62_historical_current,daily,2018-05-11 00:00:00+00:00,-0.08491942314617201,0.048798599576319455,,,
cmc_fixed62_historical_current,daily,2018-05-12 00:00:00+00:00,0.016941699692192332,0.05175350092554293,,,
cmc_fixed62_historical_current,daily,2018-05-13 00:00:00+00:00,0.042184269151103994,0.046849611567658794,,,
cmc_fixed62_historical_current,daily,2018-05-14 00:00:00+00:00,-0.007508118443250716,0.047264248364448924,,,
cmc_fixed62_historical_current,daily,2018-05-15 00:00:00+00:00,-0.03515812204125238,0.04734820914937449,,,
cmc_fixed62_historical_current,daily,2018-05-16 00:00:00+00:00,-0.013153891497666203,0.04709154368813415,,,
cmc_fixed62_historical_current,daily,2018-05-17 00:00:00+00:00,-0.04622911424504926,0.046816838144149324,,,
cmc_fixed62_historical_current,daily,2018-05-18 00:00:00+00:00,0.024435657887964052,0.04764483340354878,,,
cmc_fixed62_historical_current,daily,2018-05-19 00:00:00+00:00,-0.0023370899107720902,0.046710015885405826,,,
cmc_fixed62_historical_current,daily,2018-05-20 00:00:00+00:00,0.03804944414295417,0.04599952740214513,,,
cmc_fixed62_historical_current,daily,2018-05-21 00:00:00+00:00,-0.020470080412512075,0.04372631733437235,,,
cmc_fixed62_historical_current,daily,2018-05-22 00:00:00+00:00,-0.06226030807452752,0.04382839075537286,,,
cmc_fixed62_historical_current,daily,2018-05-23 00:00:00+00:00,-0.08057064579485498,0.04524501792668513,,,
cmc_fixed62_historical_current,daily,2018-05-24 00:00:00+00:00,0.027802512877666365,0.04682364916165754,,,
cmc_fixed62_historical_current,daily,2018-05-25 00:00:00+00:00,-0.024204072851886423,0.04410038699229958,,,
cmc_fixed62_historical_current,daily,2018-05-26 00:00:00+00:00,-0.009247712326752113,0.039357024395237195,,,
cmc_fixed62_historical_current,daily,2018-05-27 00:00:00+00:00,-0.007964239866089321,0.036856131361320855,,,
cmc_fixed62_historical_current,daily,2018-05-28 00:00:00+00:00,-0.06805127964550896,0.03661232756945978,,,
cmc_fixed62_historical_current,daily,2018-05-29 00:00:00+00:00,0.07040206965492507,0.03616990613231046,,,
cmc_fixed62_historical_current,daily,2018-05-30 00:00:00+00:00,-0.007502015111587906,0.03871859621182522,,,
cmc_fixed62_historical_current,daily,2018-05-31 00:00:00+00:00,0.020103337597651306,0.03837400686044229,,,
cmc_fixed62_historical_current,daily,2018-06-01 00:00:00+00:00,0.008059446585626764,0.038694489078592055,,,
cmc_fixed62_historical_current,daily,2018-06-02 00:00:00+00:00,0.029947007284909358,0.038388351276449385,,,
cmc_fixed62_historical_current,daily,2018-06-03 00:00:00+00:00,0.02265894811630321,0.037232661591809435,,,
cmc_fixed62_historical_current,daily,2018-06-04 00:00:00+00:00,-0.01594739312415123,0.03767648021681846,,,
cmc_fixed62_historical_current,daily,2018-06-05 00:00:00+00:00,0.0011240259670457046,0.03706963924473868,,,
cmc_fixed62_historical_current,daily,2018-06-06 00:00:00+00:00,-0.0027964810554443986,0.0370340521722055,,,
