dataset_id,provider,sample,universe_type,weighting_class,frequency,benchmark,no_intercept_target_coefficient,no_intercept_target_standardized_coefficient,no_intercept_target_p_value,no_intercept_q_value_bh_fdr,no_intercept_supports_negative_relation,no_intercept_sse,no_intercept_residual_mean,restored_target_coefficient,restored_target_standardized_coefficient,restored_target_p_value,restored_intercept,restored_intercept_p_value,restored_sse,restored_residual_mean,absolute_standardized_reduction_fraction,restored_raw_support,support_disappears_after_restoring_intercept,material_magnitude_reduction,mechanical_change,sse_improvement_fraction
okx_listing14_equal,okx,five_year,listing_aware_survivor_14,equal,daily,baseline,-1.2505426468433092,-0.5926891925381138,0.00012522554007909586,0.00037567662023728755,True,0.26862598665811577,0.004597226345221291,-0.024289917852660884,-0.011512099835420115,0.7845374065902847,0.012133335669212287,1.6317136107991664e-160,0.1667722719988253,-1.824024684488209e-18,0.9805764977995953,False,True,True,True,0.37916553020955934
okx_listing14_equal,okx,five_year,listing_aware_survivor_14,equal,daily,leave_one_out,-1.3482360565863531,-0.5906689416281364,0.000126194857689287,0.00037858457306786097,True,0.31373657467106486,0.004959734068118866,-0.025288918597243668,-0.011079201383008917,0.7921429300241104,0.013090092538312297,1.8808974373434847e-159,0.19518648659444762,-1.5443408995333502e-17,0.9812429592921038,False,True,True,True,0.37786505510525936
okx_listing14_equal,okx,five_year,listing_aware_survivor_14,equal,weekly,baseline,-0.6683465285164938,-0.6640612679380051,7.249136122683964e-12,4.3494816736103786e-11,True,0.2424817891151812,0.009928577137175836,-0.031771335476419964,-0.03156762610465851,0.7161468807472557,0.03176774118766331,2.6992348111428516e-25,0.16016017874388183,4.041041660513022e-18,0.9524627807270254,False,True,True,True,0.33949605317451614
okx_listing14_equal,okx,five_year,listing_aware_survivor_14,equal,weekly,leave_one_out,-0.7206127566617876,-0.6614216978092105,7.526327143291646e-12,4.5157962859749875e-11,True,0.28360145465875686,0.010709185005113645,-0.03398853873571117,-0.031196723606128605,0.7195479720007589,0.03426539501812506,4.355906201628626e-25,0.1878263420284103,1.701491225479167e-18,0.9528338370067693,False,True,True,True,0.3377102305261017
okx_listing14_lagged,okx,five_year,listing_aware_survivor_14,lagged_liquidity,daily,baseline,-0.48348280770512553,-0.14287525782260352,0.5738250876434596,0.732812607699922,False,0.43011188108723897,0.005514534017616949,1.3361515142362899,0.39484959763657834,0.1686020131020456,0.014186344309576942,4.946401530151476e-43,0.28726193214651813,3.8912526602415124e-18,-1.7635967462388114,False,False,False,False,0.33212276903308047
okx_listing14_lagged,okx,five_year,listing_aware_survivor_14,lagged_liquidity,daily,leave_one_out,-0.4999452855909945,-0.13274081218656159,0.5970302305800311,0.7164362766960373,False,0.5070620013929442,0.005797049333832967,1.4492824461376344,0.38479996618154244,0.1902057627488466,0.014972245987837663,4.3417600031490385e-39,0.3485746077949701,-2.644835792507903e-17,-1.898882113518504,False,False,False,False,0.3125601862545314
okx_listing14_lagged,okx,five_year,listing_aware_survivor_14,lagged_liquidity,weekly,baseline,-0.8858145089818203,-0.6141185971627477,6.181370951173482e-10,3.708822570704089e-09,True,0.3094377952936092,0.011954330211574986,0.09837885868293718,0.06820421891066306,0.5466129147330587,0.036255193465143616,6.94532589284541e-22,0.1963186845516583,-5.3596973602593766e-17,0.8889396621014748,False,True,True,True,0.3655633295687689
okx_listing14_lagged,okx,five_year,listing_aware_survivor_14,lagged_liquidity,weekly,leave_one_out,-0.9197038360477003,-0.590476108492249,6.623436204934983e-10,3.97406172296099e-09,True,0.352061286051981,0.012554473452828428,0.11390964459620243,0.07313324249026212,0.5197321018098747,0.03821377340069938,1.9274602615944307e-20,0.22684554328850448,-4.8705186329341157e-17,0.8761452979410053,False,True,True,True,0.35566461785005443
binance_pit50_equal,binance_archive,five_year,point_in_time_top50,equal,daily,baseline,-1.2549923431773673,-0.7363607252206599,4.555376851143034e-05,0.000136661305534291,True,0.5076053748791641,0.0075298419129717145,0.25449993337003113,0.14932661264729333,0.4990674422576922,0.020655856219976915,4.089554595302178e-139,0.22359785880511462,-1.8483450136147185e-17,0.7972099712372007,False,True,True,True,0.5595045484726353
binance_pit50_equal,binance_archive,five_year,point_in_time_top50,equal,daily,leave_one_out,-1.2807215428297571,-0.7363947797735494,4.5490160750117725e-05,0.00013647048225035318,True,0.5285802438544764,0.00768382780341699,0.25963997572974656,0.14928890969184844,0.4991500142287094,0.021078270189580084,4.0238493733241136e-139,0.2328379997375452,-1.2160164563254726e-17,0.7972705486345835,False,True,True,True,0.5595030225880937
binance_pit50_equal,binance_archive,five_year,point_in_time_top50,equal,weekly,baseline,-0.4715079749417496,-0.5090136340658922,0.22426800924928125,0.4485360184985625,False,0.6057158649501324,0.01979890207652794,0.4945878321437653,0.5339293568372222,0.34182812526829276,0.06322308349110406,1.404822856258784e-37,0.27775798352780284,-1.2712477381204083e-18,-0.04894902828497649,False,False,False,False,0.5414384869204801
binance_pit50_equal,binance_archive,five_year,point_in_time_top50,equal,weekly,leave_one_out,-0.48116729172367095,-0.5090357607474837,0.2242271414067749,0.4484542828135498,False,0.6307315742392335,0.020203507543797964,0.5046714103942347,0.5339012017987856,0.3418406719595001,0.06451509479250331,1.4183621134634665e-37,0.289232598704986,3.3899939683210885e-18,-0.04884812221205981,False,False,False,False,0.5414331380923045
binance_pit50_lagged,binance_archive,five_year,point_in_time_top50,lagged_liquidity,daily,baseline,0.21230857793253824,0.404864593175892,7.685076379674587e-27,2.305522913902376e-26,False,0.7456599326508822,0.010761810077453178,0.3761019955726744,0.7172125729114741,4.412176742074245e-31,0.021007950123420698,3.0211523937753393e-78,0.33283133502716267,6.6880905097901e-19,-0.771487517061991,False,False,False,False,0.5536419211316344
binance_pit50_lagged,binance_archive,five_year,point_in_time_top50,lagged_liquidity,daily,leave_one_out,0.22645248111166916,0.41466663222827166,2.5469790744349727e-29,7.640937223304917e-29,False,0.7737268076044581,0.0108917647449513,0.39288426489847694,0.71942684920548,2.3845337773417358e-30,0.021276897198955657,1.5866323018346387e-72,0.35056416484745767,-9.849733296236329e-18,-0.734952352784054,False,False,False,False,0.5469148006738422
binance_pit50_lagged,binance_archive,five_year,point_in_time_top50,lagged_liquidity,weekly,baseline,-0.009233966529886457,-0.008884341757062972,0.9763608868808437,0.9763608868808437,False,0.6440777725418252,0.02445707349051281,0.9042606125351917,0.8700226812834819,9.535834588578921e-07,0.06827412495627361,1.6586458833510525e-87,0.2065940261541425,5.190928263991667e-18,-96.92764676030407,False,False,False,False,0.6792405591970236
binance_pit50_lagged,binance_archive,five_year,point_in_time_top50,lagged_liquidity,weekly,leave_one_out,0.01134215717297926,0.010617972791746214,0.9715788603579908,0.9715788603579908,False,0.6681035881558014,0.024856026911100473,0.9373702009170012,0.8775201346038162,7.59048986853819e-07,0.06942826439788118,1.4093432211434328e-85,0.21596735639044123,1.2712477381204083e-18,-81.64479028293881,False,False,False,False,0.676745701985247
