term,coefficient,std_error,t_stat,p_value,ci_lower,ci_upper,model,dataset_id,provider,sample,universe_type,weighting_class,frequency,benchmark
market_return_sq,-1.8259322296175795,0.5131638874797384,-3.5581853559203815,0.00037342576713548636,-2.8317149672444315,-0.8201494919907275,no_intercept_csad,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,baseline
const,0.001123452423629327,0.0005444382639750438,2.06350746809527,0.039064438997831484,5.637303443273029e-05,0.0021905318128259237,scsad,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,baseline
market_return,0.6886113196860533,0.020210546998096053,34.071879388070215,1.925157531423356e-254,0.6489993754619309,0.7282232639101757,scsad,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,baseline
market_return_sq,-0.06451763311778327,0.2395423862010032,-0.26933702273319454,0.787670344418966,-0.534012082842534,0.4049768166069675,scsad,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,baseline
market_return_cu,-2.6768405175550516,0.6358601653657404,-4.209794327995621,2.5560326372067416e-05,-3.923103540875586,-1.4305774942345173,scsad,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,baseline
const,0.023335438247322097,0.0006231442061976239,37.4478941073898,6.4998776686370384e-307,0.022114098045999953,0.02455677844864424,intercept_restored,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,baseline
market_return,0.0031610147777544487,0.01114811995382612,0.2835468931844032,0.7767576403196359,-0.01868889882707708,0.025010928382585975,intercept_restored,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,baseline
abs_market_return,0.23082574687926496,0.021664241140245816,10.654688774233515,1.657982973703584e-26,0.1883646144919922,0.2732868792665377,intercept_restored,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,baseline
market_return_sq,-0.0438512170524949,0.138977640475853,-0.3155271373319504,0.7523614499581481,-0.31624238704152285,0.22853995293653306,intercept_restored,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,baseline
const,0.02349641460407957,0.0006291231680740155,37.347876848997636,2.744826167362338e-305,0.022263355852814762,0.02472947335534438,standard_csad,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,leave_one_out
