model,status,nobs,base_design_columns,interaction_coefficient,interaction_standardized_coefficient,interaction_t_stat,interaction_p_value,condition_number,dataset_id,provider,sample,universe_type,weighting_class,frequency,benchmark,metric,interaction_q_value_bh_fdr,interaction_supported
scsad,estimated,118,"const,market_return,market_return_sq,market_return_cu",3.7206157157619764,0.0384374655350956,0.8928899890935902,0.371916088670761,1550.6217946476609,cmc_fixed62_holdout_current,coinmarketcap,temporal_holdout,fixed_survivor_62,contemporaneous_size,weekly,baseline,btc_weight,0.7444853345443018,False
standard_csad,estimated,830,"const,abs_market_return,market_return_sq",-0.08001842697719425,-0.00995159180383593,-0.15619094387334,0.8758825148713323,1386.4185117072595,cmc_fixed62_holdout_lagged,coinmarketcap,temporal_holdout,fixed_survivor_62,lagged_size,daily,baseline,active_assets,0.9853678292302488,False
no_intercept_csad,estimated,830,"market_return,abs_market_return,market_return_sq",-1.0929316026561875,-0.13592380642831714,-1.5389248934141397,0.12382263312221457,1104.7798953666818,cmc_fixed62_holdout_lagged,coinmarketcap,temporal_holdout,fixed_survivor_62,lagged_size,daily,baseline,active_assets,0.35811874221527384,False
scsad,estimated,830,"const,market_return,market_return_sq,market_return_cu",-16.7102552877342,-0.09690056480013004,-3.1696480122953314,0.001526237022924761,8301.506106929373,cmc_fixed62_holdout_lagged,coinmarketcap,temporal_holdout,fixed_survivor_62,lagged_size,daily,baseline,active_assets,0.013736133206322849,True
standard_csad,estimated,830,"const,abs_market_return,market_return_sq",-1.27612663760078,-0.1228508321503049,-1.6097073338606578,0.10746176315821285,1395.1183296895529,cmc_fixed62_holdout_lagged,coinmarketcap,temporal_holdout,fixed_survivor_62,lagged_size,daily,baseline,weight_hhi,0.35811874221527384,False
no_intercept_csad,estimated,830,"market_return,abs_market_return,market_return_sq",-0.39518395939878975,-0.03804377781492675,-0.4438404000722277,0.6571579772133402,1142.2791887407511,cmc_fixed62_holdout_lagged,coinmarketcap,temporal_holdout,fixed_survivor_62,lagged_size,daily,baseline,weight_hhi,0.9853678292302488,False
scsad,estimated,830,"const,market_return,market_return_sq,market_return_cu",1.888965007865037,0.006073873798617597,0.1762801491604316,0.8600738564952548,11304.83414809983,cmc_fixed62_holdout_lagged,coinmarketcap,temporal_holdout,fixed_survivor_62,lagged_size,daily,baseline,weight_hhi,0.9853678292302488,False
standard_csad,estimated,830,"const,abs_market_return,market_return_sq",-1.0723921271025467,-0.10530093035432321,-1.4078891869709504,0.1591638854290106,1418.8119935710192,cmc_fixed62_holdout_lagged,coinmarketcap,temporal_holdout,fixed_survivor_62,lagged_size,daily,baseline,btc_weight,0.35811874221527384,False
no_intercept_csad,estimated,830,"market_return,abs_market_return,market_return_sq",-0.009694165806174292,-0.0009518949762875376,-0.01078552693397111,0.9913945614212414,1163.7116194604255,cmc_fixed62_holdout_lagged,coinmarketcap,temporal_holdout,fixed_survivor_62,lagged_size,daily,baseline,btc_weight,0.9913945614212414,False
scsad,estimated,830,"const,market_return,market_return_sq,market_return_cu",7.540920820546539,0.026218486655040504,0.7228469301590954,0.4697739311192697,11153.54291324273,cmc_fixed62_holdout_lagged,coinmarketcap,temporal_holdout,fixed_survivor_62,lagged_size,daily,baseline,btc_weight,0.8455930760146855,False
standard_csad,estimated,118,"const,abs_market_return,market_return_sq",0.16589080484423674,0.043942636522707135,0.5287882481125716,0.5969523509573988,502.25780499373826,cmc_fixed62_holdout_lagged,coinmarketcap,temporal_holdout,fixed_survivor_62,lagged_size,weekly,baseline,active_assets,0.9022827186541037,False
no_intercept_csad,estimated,118,"market_return,abs_market_return,market_return_sq",1.0735756026391505,0.2843782844426739,1.3204931534365516,0.18667042042120785,420.3833927033212,cmc_fixed62_holdout_lagged,coinmarketcap,temporal_holdout,fixed_survivor_62,lagged_size,weekly,baseline,active_assets,0.521644869256364,False
scsad,estimated,118,"const,market_return,market_return_sq,market_return_cu",9.05535850851824,0.12773829997725986,2.0947594582426325,0.03619238073272627,2242.4623453918193,cmc_fixed62_holdout_lagged,coinmarketcap,temporal_holdout,fixed_survivor_62,lagged_size,weekly,baseline,active_assets,0.32573142659453647,False
standard_csad,estimated,118,"const,abs_market_return,market_return_sq",-0.04323976345295702,-0.010458651551702756,-0.12277822381376233,0.9022827186541038,447.68229009265605,cmc_fixed62_holdout_lagged,coinmarketcap,temporal_holdout,fixed_survivor_62,lagged_size,weekly,baseline,weight_hhi,0.9022827186541037,False
no_intercept_csad,estimated,118,"market_return,abs_market_return,market_return_sq",0.3267430900965792,0.07903124007522859,0.3365116679910043,0.7364850543183123,364.5002495126451,cmc_fixed62_holdout_lagged,coinmarketcap,temporal_holdout,fixed_survivor_62,lagged_size,weekly,baseline,weight_hhi,0.9022827186541037,False
scsad,estimated,118,"const,market_return,market_return_sq,market_return_cu",5.658837632137629,0.06284422890145115,1.19562696432214,0.23184216411393954,1913.4402122831132,cmc_fixed62_holdout_lagged,coinmarketcap,temporal_holdout,fixed_survivor_62,lagged_size,weekly,baseline,weight_hhi,0.521644869256364,False
standard_csad,estimated,118,"const,abs_market_return,market_return_sq",0.05301281240249349,0.013039375292451775,0.16051864448470654,0.8724725358797213,446.72427359654677,cmc_fixed62_holdout_lagged,coinmarketcap,temporal_holdout,fixed_survivor_62,lagged_size,weekly,baseline,btc_weight,0.9022827186541037,False
no_intercept_csad,estimated,118,"market_return,abs_market_return,market_return_sq",0.39892645311994934,0.0981225386954385,0.45543773675112603,0.6487943517122905,359.49158869878266,cmc_fixed62_holdout_lagged,coinmarketcap,temporal_holdout,fixed_survivor_62,lagged_size,weekly,baseline,btc_weight,0.9022827186541037,False
scsad,estimated,118,"const,market_return,market_return_sq,market_return_cu",5.618207404608809,0.06412630299607297,1.4588240664313046,0.14461353689148457,1731.164393400346,cmc_fixed62_holdout_lagged,coinmarketcap,temporal_holdout,fixed_survivor_62,lagged_size,weekly,baseline,btc_weight,0.521644869256364,False
standard_csad,not_identified,1826,,,,,,,binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,daily,baseline,active_assets,,False
no_intercept_csad,not_identified,1826,,,,,,,binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,daily,baseline,active_assets,,False
scsad,not_identified,1826,,,,,,,binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,daily,baseline,active_assets,,False
standard_csad,not_identified,1826,,,,,,,binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,daily,baseline,weight_hhi,,False
no_intercept_csad,not_identified,1826,,,,,,,binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,daily,baseline,weight_hhi,,False
scsad,not_identified,1826,,,,,,,binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,daily,baseline,weight_hhi,,False
standard_csad,not_identified,1826,,,,,,,binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,daily,baseline,btc_weight,,False
no_intercept_csad,not_identified,1826,,,,,,,binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,daily,baseline,btc_weight,,False
scsad,not_identified,1826,,,,,,,binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,daily,baseline,btc_weight,,False
standard_csad,not_identified,261,,,,,,,binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,weekly,baseline,active_assets,,False
no_intercept_csad,not_identified,261,,,,,,,binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,weekly,baseline,active_assets,,False
scsad,not_identified,261,,,,,,,binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,weekly,baseline,active_assets,,False
standard_csad,not_identified,261,,,,,,,binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,weekly,baseline,weight_hhi,,False
no_intercept_csad,not_identified,261,,,,,,,binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,weekly,baseline,weight_hhi,,False
scsad,not_identified,261,,,,,,,binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,weekly,baseline,weight_hhi,,False
standard_csad,not_identified,261,,,,,,,binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,weekly,baseline,btc_weight,,False
no_intercept_csad,not_identified,261,,,,,,,binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,weekly,baseline,btc_weight,,False
scsad,not_identified,261,,,,,,,binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,weekly,baseline,btc_weight,,False
standard_csad,not_identified,1826,,,,,,,binance_fixed14_lagged,binance,five_year,fixed_survivor_14,lagged_liquidity,daily,baseline,active_assets,,False
