target,leader,direction,event_count_h1,control_count_h1,event_mean_return_h1,control_mean_return_h1,delta_mean_return_h1,delta_t_stat_h1,event_win_rate_h1,baseline_mean_return_h1,event_count_h2,control_count_h2,event_mean_return_h2,control_mean_return_h2,delta_mean_return_h2,delta_t_stat_h2,event_win_rate_h2,baseline_mean_return_h2,same_sign,both_strong,both_strong_same_sign,sign_flip
XRPUSDT,BTCUSDT,down,350,5474,0.0008623314606996339,-0.00014500996251120134,0.0010073414232108352,1.5651480225600916,0.49142857142857144,-8.447261736631942e-05,493,5361,-0.0003498827683968636,-7.872188793910692e-05,-0.00027116088045775667,-1.0671568045255722,0.44421906693711966,-0.00010155795115497193,False,False,False,True
XRPUSDT,DOGEUSDT,down,390,5434,0.0014050379218356825,-0.00019137528764397505,0.0015964132094796574,2.611567373590514,0.5512820512820513,-8.447261736631942e-05,485,5369,-0.0005826715884887332,-5.809732271264113e-05,-0.0005245742657760921,-1.5685664935939192,0.4536082474226804,-0.00010155795115497193,False,True,False,True
XRPUSDT,ETHUSDT,down,502,5322,-0.00048012079128444634,-4.715292865777006e-05,-0.0004329678626266763,-0.8302982606534487,0.5079681274900398,-8.447261736631942e-05,480,5374,-0.00018816374884305056,-9.382241284267618e-05,-9.434133600037438e-05,-0.35071147156755517,0.4583333333333333,-0.00010155795115497193,True,False,False,False
XRPUSDT,SOLUSDT,down,465,5359,0.0003210441907320047,-0.00011965927826680845,0.0004407034689988132,1.3831001207190963,0.5225806451612903,-8.447261736631942e-05,562,5292,-0.0007087956910024308,-3.707049654532122e-05,-0.0006717251944571096,-2.2278766809920896,0.45373665480427045,-0.00010155795115497193,False,False,False,True
ADAUSDT,AVAXUSDT,up,489,5309,0.0006690918837516236,-3.2559953787459106e-05,0.0007016518375390827,0.644504721851491,0.5480572597137015,2.6616960416854715e-05,467,4472,-0.00028900508998421485,-0.00012931047601579454,-0.00015969461396842031,-0.37946329759546,0.5053533190578159,-0.00014441016921750593,False,False,False,True
ADAUSDT,BTCUSDT,up,384,5414,-0.0002559278902239915,4.6657082811772506e-05,-0.000302584973035764,-0.2989002962077671,0.5755208333333334,2.6616960416854715e-05,332,4607,-0.0005165713336293876,-0.00011759065400484151,-0.00039898067962454615,-0.9059881218718948,0.4759036144578313,-0.00014441016921750593,True,False,False,False
ADAUSDT,DOGEUSDT,up,565,5233,-0.0009844440841074694,0.00013577986700126957,-0.001120223951108739,-1.5027233886217546,0.5079646017699115,2.6616960416854715e-05,465,4474,-0.0004996406226015251,-0.00010748970412506762,-0.0003921509184764575,-0.9583492630221955,0.4860215053763441,-0.00014441016921750593,True,False,False,False
ADAUSDT,ETHUSDT,up,384,5414,0.0005858049494851934,-1.3044692298742338e-05,0.0005988496417839357,1.2694645442660328,0.5494791666666666,2.6616960416854715e-05,478,4461,-0.0006511815110954996,-9.010918257377558e-05,-0.0005610723285217241,-1.7575708971098825,0.4769874476987448,-0.00014441016921750593,False,False,False,True
ADAUSDT,SOLUSDT,up,400,5398,0.0003246779871213578,4.530185559166388e-06,0.0003201478015621914,0.3345712658471573,0.58,2.6616960416854715e-05,408,4531,-1.4402877498411994e-05,-0.0001561168509701853,0.00014171397347177331,0.36349403608929365,0.48284313725490197,-0.00014441016921750593,True,False,False,False
ADAUSDT,XRPUSDT,up,453,5345,0.00032141215794379013,1.6324469501190861e-06,0.00031977971099367107,0.2822139863067281,0.5121412803532008,2.6616960416854715e-05,456,4483,-0.00041577983622761685,-0.00011680709802486468,-0.0002989727382027522,-0.8086635991392747,0.48903508771929827,-0.00014441016921750593,False,False,False,True
AVAXUSDT,ADAUSDT,up,423,4783,-0.0004952937278721094,0.00010036945185029075,-0.0005956631797224001,-0.802870049311874,0.5011820330969267,5.1970388265470324e-05,366,2334,3.198523796505819e-05,7.060670300942336e-05,-3.8621465044365174e-05,-0.07894499304969221,0.5300546448087432,6.537134885896494e-05,True,False,False,False
AVAXUSDT,BTCUSDT,up,360,4846,0.000176711595748273,4.2703604383132565e-05,0.00013400799136514043,0.1671706286996294,0.5777777777777777,5.1970388265470324e-05,197,2503,-0.0010675358919713422,0.00015453744012687177,-0.001222073332098214,-1.7605268961846288,0.4416243654822335,6.537134885896494e-05,False,False,False,True
AVAXUSDT,DOGEUSDT,up,558,4648,-0.0005786249669400172,0.00012767439175184346,-0.0007062993586918607,-1.1691043056296013,0.5,5.1970388265470324e-05,404,2296,-0.0003969187987916551,0.00014671508564069428,-0.0005436338844323494,-1.2425988237378742,0.4777227722772277,6.537134885896494e-05,True,False,False,False
AVAXUSDT,ETHUSDT,up,368,4838,0.00012449861120719053,4.6453566016079435e-05,7.80450451911111e-05,0.174373749414814,0.5,5.1970388265470324e-05,343,2357,-0.0006962492624177155,0.0001762054047214603,-0.0008724546671391759,-2.1390554220794415,0.4402332361516035,6.537134885896494e-05,False,False,False,True
AVAXUSDT,SOLUSDT,up,387,4819,0.0004985540449111559,1.610654200652029e-05,0.0004824475029046356,0.6311679140958639,0.5684754521963824,5.1970388265470324e-05,316,2384,9.037291134899877e-05,6.205738336112491e-05,2.8315527987873856e-05,0.06008798750390281,0.46835443037974683,6.537134885896494e-05,True,False,False,False
AVAXUSDT,XRPUSDT,up,441,4765,0.00025685027568600265,3.300878693232143e-05,0.00022384148875368123,0.29158062208981744,0.5170068027210885,5.1970388265470324e-05,350,2350,-0.0001813145766737472,0.00010211180585319872,-0.0002834263825269459,-0.6588501877737643,0.4657142857142857,6.537134885896494e-05,False,False,False,True
BTCUSDT,ADAUSDT,up,426,5398,-0.0001548226693083522,1.6968169440743385e-05,-0.00017179083874909558,-0.7719725435504796,0.5070422535211268,4.402424710812989e-06,458,5396,0.0001011181017683383,-4.482489261342469e-05,0.000145942994381763,0.5574867521862319,0.5633187772925764,-3.340673555383339e-05,False,False,False,True
BTCUSDT,AVAXUSDT,up,489,5335,0.00014341057791898321,-8.338903671341701e-06,0.00015174948159032492,0.6649237357007722,0.5501022494887525,4.402424710812989e-06,480,5374,8.547917448839933e-05,-4.402549938343364e-05,0.00012950467387183297,0.5015314387568416,0.5729166666666666,-3.340673555383339e-05,True,False,False,False
