target,leader,direction,event_count,control_count,event_mean_return,control_mean_return,delta_mean_return,delta_t_stat,event_win_rate,baseline_mean_return,p_value_normal_approx,bonferroni_05,bonferroni_10,bh_fdr_05,bh_fdr_10,bh_fdr_20
XRPUSDT,DOGEUSDT,up,1041,10637,-0.0002418335487172,-7.847513823333776e-05,-0.0001633584104838,-0.4981856636365557,0.5196926032660903,-9.303722979985017e-05,0.6183531862423908,False,False,False,False,False
SOLUSDT,DOGEUSDT,down,875,10803,0.0001013781609511,-3.44903570981081e-05,0.0001358685180493,0.4792983942811976,0.5074285714285715,-2.431010762960824e-05,0.6317263643167019,False,False,False,False,False
SOLUSDT,ETHUSDT,up,898,10780,-0.0001241950011619,-1.5989455088598383e-05,-0.0001082055460733,-0.479105405213265,0.5189309576837416,-2.431010762960824e-05,0.631863644635813,False,False,False,False,False
ADAUSDT,AVAXUSDT,up,956,9781,0.0002010675252425,-7.679554681527997e-05,0.0002778630720578,0.4681650582653648,0.5271966527196653,-5.205520063968875e-05,0.6396665576147353,False,False,False,False,False
ADAUSDT,SOLUSDT,up,808,9929,0.0001534589366697,-6.877948535577894e-05,0.0002222384220255,0.4332834582392175,0.530940594059406,-5.205520063968875e-05,0.6648088539788619,False,False,False,False,False
BTCUSDT,XRPUSDT,up,920,10758,5.096449528672342e-05,-2.0153434103007194e-05,7.111792938973061e-05,0.4268327719113345,0.5260869565217391,-1.4550720021952882e-05,0.6695011347791844,False,False,False,False,False
ADAUSDT,SOLUSDT,down,1003,9734,-0.0001586044899392,-4.107626729600218e-05,-0.0001175282226432,-0.4256400749724595,0.4995014955134596,-5.205520063968875e-05,0.6703701339851644,False,False,False,False,False
ETHUSDT,ADAUSDT,down,923,10755,0.0001405607394992,4.205560389588827e-05,9.850513560340344e-05,0.4204243961608703,0.4994582881906825,4.984120418377502e-05,0.6741754491832783,False,False,False,False,False
SOLUSDT,XRPUSDT,up,920,10758,8.242972264108608e-05,-3.343825820118647e-05,0.0001158679808422,0.3888051777389995,0.5195652173913043,-2.431010762960824e-05,0.6974202703357886,False,False,False,False,False
DOGEUSDT,BTCUSDT,up,798,10877,-0.0001541073318662,-3.4379494128191662e-06,-0.0001506693824534,-0.3670935017477053,0.5388471177944862,-1.3736379151390783e-05,0.7135492743027503,False,False,False,False,False
DOGEUSDT,ADAUSDT,up,884,10791,-0.000152312430067,-2.3842126228568147e-06,-0.0001499282174441,-0.3668972977359097,0.5486425339366516,-1.3736379151390783e-05,0.7136956272027799,False,False,False,False,False
SOLUSDT,BTCUSDT,up,798,10880,-0.000123896291854,-1.7005900367554656e-05,-0.0001068903914865,-0.3652255231129185,0.5238095238095238,-2.431010762960824e-05,0.7149430676117259,False,False,False,False,False
ETHUSDT,XRPUSDT,up,920,10758,0.0001165587664698,4.413566808941189e-05,7.242309838040489e-05,0.28073576948839,0.5304347826086957,4.984120418377502e-05,0.7789130714716934,False,False,False,False,False
BTCUSDT,DOGEUSDT,down,875,10803,2.3064912602681875e-05,-1.7597436540193677e-05,4.066234914287555e-05,0.2501232355403021,0.5222857142857142,-1.4550720021952882e-05,0.8024920475938773,False,False,False,False,False
BTCUSDT,ADAUSDT,down,923,10755,-4.621196732703079e-05,-1.1833534409439e-05,-3.437843291759179e-05,-0.2383754662462721,0.4864572047670639,-1.4550720021952882e-05,0.8115898941428483,False,False,False,False,False
DOGEUSDT,XRPUSDT,up,920,10755,5.6684740608011294e-05,-1.976031501179525e-05,7.644505561980655e-05,0.1924769763651082,0.5260869565217391,-1.3736379151390783e-05,0.8473686009214996,False,False,False,False,False
ADAUSDT,ETHUSDT,up,862,9875,-0.0001001341783078,-4.785833190551935e-05,-5.227584640229328e-05,-0.1889188787153708,0.5092807424593968,-5.205520063968875e-05,0.8501563969319526,False,False,False,False,False
DOGEUSDT,ETHUSDT,up,898,10777,2.8793865151879933e-05,-1.728023731083565e-05,4.607410246271558e-05,0.1760652566888642,0.5200445434298441,-1.3736379151390783e-05,0.8602426756422235,False,False,False,False,False
ETHUSDT,AVAXUSDT,up,969,10709,9.178328823319218e-05,4.604608984593905e-05,4.573719838725313e-05,0.158856854244528,0.5479876160990712,4.984120418377502e-05,0.8737816542695138,False,False,False,False,False
XRPUSDT,BTCUSDT,up,798,10880,-4.8970076292470754e-05,-9.626936109570393e-05,4.729928480323317e-05,0.1336865935328323,0.5325814536340853,-9.303722979985017e-05,0.8936504068061597,False,False,False,False,False
SOLUSDT,BTCUSDT,down,843,10835,-5.128774248699428e-05,-2.22111555128776e-05,-2.907658697411669e-05,-0.1126668975437485,0.4733096085409252,-2.431010762960824e-05,0.9102946460368744,False,False,False,False,False
SOLUSDT,ADAUSDT,down,923,10755,-1.5729241507938742e-06,-2.626142518897093e-05,2.4688501038177058e-05,0.1063303167526738,0.5005417118093174,-2.431010762960824e-05,0.9153202786415058,False,False,False,False,False
DOGEUSDT,XRPUSDT,down,995,10680,5.267213830257163e-06,-1.550684497692824e-05,2.0774058807185404e-05,0.0713746019646963,0.5175879396984925,-1.3736379151390783e-05,0.9430996227412727,False,False,False,False,False
BTCUSDT,ADAUSDT,up,884,10794,-2.221987162382252e-05,-1.3922636826098472e-05,-8.29723479772405e-06,-0.0480129730793047,0.5361990950226244,-1.4550720021952882e-05,0.9617059035095221,False,False,False,False,False
BTCUSDT,AVAXUSDT,down,913,10765,-1.863532437245366e-05,-1.4204297005510048e-05,-4.431027366943613e-06,-0.0311342046823558,0.4852135815991237,-1.4550720021952882e-05,0.9751625114923579,False,False,False,False,False
DOGEUSDT,AVAXUSDT,up,969,10706,-3.4547017485413715e-06,-1.4666973715500736e-05,1.1212271966959363e-05,0.027263259773085,0.5335397316821465,-1.3736379151390783e-05,0.9782497604222831,False,False,False,False,False
ADAUSDT,XRPUSDT,down,990,9747,-5.856965280610553e-05,-5.139352959785513e-05,-7.176123208250406e-06,-0.0246856831588435,0.4868686868686869,-5.205520063968875e-05,0.9803056747860088,False,False,False,False,False
SOLUSDT,AVAXUSDT,down,913,10765,-2.9404197736698443e-05,-2.3878068217831805e-05,-5.5261295188666376e-06,-0.0238075138487598,0.5016429353778752,-2.431010762960824e-05,0.9810061465647113,False,False,False,False,False
AVAXUSDT,XRPUSDT,up,791,7115,6.297202242947622e-05,5.583269339248468e-05,7.139329036991542e-06,0.0152579226862443,0.4943109987357775,5.6546987506861145e-05,0.9878264114043231,False,False,False,False,False
AVAXUSDT,SOLUSDT,down,886,7020,5.892549543453176e-05,5.624679405616082e-05,2.678701378370933e-06,0.0094186157757905,0.4977426636568848,5.6546987506861145e-05,0.9924851429960921,False,False,False,False,False
XRPUSDT,ADAUSDT,up,884,10794,-9.613456979891482e-05,-9.278356586070124e-05,-3.3510039382135813e-06,-0.0090968568345108,0.5395927601809954,-9.303722979985017e-05,0.9927418584853085,False,False,False,False,False
ADAUSDT,XRPUSDT,up,909,9828,-4.840032758114006e-05,-5.239324292807099e-05,3.992915346930927e-06,0.006720009783941,0.5005500550055005,-5.205520063968875e-05,0.9946382482997851,False,False,False,False,False
