offset_minutes,avax_mean_log_ret,doge_mean_log_ret,avax_cum_from_event,doge_cum_from_event,n_events_with_data
29,5.360806069363039e-05,-1.0480898201895236e-05,0.002855768171566772,0.003085101802126484,827
30,0.00015908840920458687,7.403545405045628e-05,0.003014856580771359,0.00315913725617694,827
31,-3.53288336022403e-05,1.3729581740539065e-05,0.0029795277471691187,0.003172866837917479,827
32,-0.00020642249853657974,-0.000189217501243318,0.002773105248632539,0.0029836493366741613,827
33,2.0236967119012804e-05,6.938811090239146e-05,0.002793342215751552,0.003053037447576553,827
34,1.593877463854205e-05,-1.5096147628750229e-05,0.0028092809903900937,0.0030379412999478024,827
35,3.585983710727679e-05,5.212595211693877e-05,0.0028451408274973704,0.003090067252064741,827
36,2.3194367955020672e-05,4.785127883293236e-05,0.0028683351954523913,0.0031379185308976734,827
37,-3.9830048614684764e-05,-4.43460599952554e-05,0.0028285051468377063,0.003093572470902418,827
38,5.332605061742707e-05,0.0001376665078990067,0.0028818311974551335,0.003231238978801425,827
39,7.091596692504671e-06,-6.26227456913637e-05,0.002888922794147638,0.003168616233110061,827
40,-5.104141468935751e-06,-2.5033536975624365e-05,0.0028838186526787025,0.003143582696134437,827
41,-4.322219121033934e-05,-4.3481455412618796e-06,0.0028405964614683634,0.0031392345505931746,827
42,-1.1011197595855145e-05,3.8836205731881725e-05,0.002829585263872508,0.0031780707563250567,827
43,4.87303075929856e-05,1.3472798269860931e-05,0.0028783155714654936,0.0031915435545949175,827
44,1.962745319821538e-05,3.7514591763681397e-06,0.002897943024663709,0.0031952950137712857,827
45,0.00010767146276879,3.997257751490232e-05,0.003005614487432499,0.003235267591286188,827
46,-2.3995338002972263e-05,-4.7008308145744985e-05,0.002981619149429527,0.003188259283140443,827
47,-0.00013408666173495663,-8.336161062638305e-05,0.0028475324876945703,0.0031048976725140598,827
48,1.501375689925673e-05,1.580259267226972e-05,0.002862546244593827,0.0031207002651863296,827
