offset_minutes,avax_mean_log_ret,doge_mean_log_ret,avax_cum_from_event,doge_cum_from_event,n_events
-29,-0.00010180977136791681,-0.0001148029784783998,0.0019510128886142584,0.0021496910996333307,1867
-28,-0.00014397964103191258,-0.00015780179914333785,0.0018070332475823457,0.001991889300489993,1867
-27,-0.0002194701138067796,-0.00018794872269283113,0.001587563133775566,0.0018039405777971616,1867
-26,-0.00020912921898130104,-0.0001042011681510163,0.0013784339147942652,0.0016997394096461454,1867
-25,-0.00023947453265221814,-0.0001559492850717628,0.0011389593821420469,0.0015437901245743827,1867
-24,7.176868172556431e-05,3.842530871277896e-05,0.0012107280638676112,0.0015822154332871617,1867
-23,0.00017828461466504552,-5.5164999435618455e-05,0.0013890126785326567,0.0015270504338515433,1867
-22,-7.95398966262975e-05,-2.6094904266192617e-05,0.0013094727819063594,0.0015009555295853506,1867
-21,0.0002612596938127881,2.0748472184385296e-05,0.0015707324757191475,0.0015217040017697359,1867
-20,-0.000320367035839191,-3.173976551557173e-05,0.0012503654398799565,0.001489964236254164,1867
-19,-0.00011012257869420647,-5.987043931327202e-05,0.00114024286118575,0.001430093796940892,1867
-18,-6.182420282189694e-06,-3.4741849518820915e-05,0.0011340604409035603,0.0013953519474220713,1867
-17,-4.872355568666257e-05,-4.401584162908226e-05,0.0010853368852168977,0.0013513361057929892,1867
-16,2.6289978765225563e-07,-1.4017325916450569e-05,0.00108559978500455,0.0013373187798765389,1867
-15,6.571728189793984e-05,5.738489927176242e-05,0.0011513170669024899,0.0013947036791483011,1867
-14,-0.00012255205587789763,-0.00021768325429008363,0.0010287650110245923,0.0011770204248582176,1867
-13,-0.0001094192379893409,-3.834864657272099e-05,0.0009193457730352515,0.0011386717782854968,1867
-12,-4.323106721472058e-05,-2.0126043961094574e-05,0.0008761147058205308,0.0011185457343244024,1867
-11,-1.6883996027964148e-05,-5.206678164476349e-05,0.0008592307097925666,0.0010664789526796388,1867
-10,-0.0001582897812012552,-0.00018829695392968426,0.0007009409285913112,0.0008781819987499547,1867
-9,-0.00016393512532638573,-0.00013772758458813357,0.0005370058032649256,0.0007404544141618214,1867
-8,-0.00021430414318865385,-0.00020589358011947382,0.00032270166007627174,0.0005345608340423477,1867
-7,-3.0925592265016815e-05,-2.66668345128009e-05,0.000291776067811255,0.000507893999529547,1867
-6,-1.1074335221616087e-05,-9.896364352933858e-05,0.0002807017325896391,0.00040893035600020854,1867
-5,-8.890205430798057e-05,-0.0001260649955743941,0.00019179967828165858,0.0002828653604258144,1867
-4,-6.968268453715367e-05,-7.523732994041868e-05,0.0001221169937445049,0.00020762803048539552,1867
-3,-0.0001261461139907189,-0.00013814506563095374,-4.029120246214039e-06,6.948296485444162e-05,1867
-2,-8.095671448047494e-05,-0.0001559410117547958,-8.49858347266889e-05,-8.645804690035402e-05,1867
