target,leader,direction,event_count_low,control_count_low,event_mean_return_low,control_mean_return_low,delta_mean_return_low,delta_t_stat_low,event_win_rate_low,baseline_mean_return_low,event_count_high,control_count_high,event_mean_return_high,control_mean_return_high,delta_mean_return_high,delta_t_stat_high,event_win_rate_high,baseline_mean_return_high,same_sign
SOLUSDT,ADAUSDT,down,1916,25955,-8.397632451353721e-05,-5.8891755925320565e-05,-2.508456858821665e-05,-0.13727593072203637,0.4932150313152401,-6.0616201887611945e-05,2464,26869,0.00021712165484774818,6.965442674632543e-05,0.00014746722810142276,0.6728844358684255,0.4862012987012987,8.20418146726168e-05,False
SOLUSDT,AVAXUSDT,down,1853,26018,-0.00014260948910792766,-5.4776646148537255e-05,-8.783284295939041e-05,-0.45440770404434744,0.48623853211009177,-6.0616201887611945e-05,2640,26693,0.0002739418332133798,6.30624549548026e-05,0.00021087937825857718,0.9092841221592971,0.49924242424242427,8.20418146726168e-05,False
SOLUSDT,BTCUSDT,down,2100,25771,-0.0003420092059849095,-3.7686346290067223e-05,-0.0003043228596948423,-2.143758995699419,0.4561904761904762,-6.0616201887611945e-05,2172,27161,0.000223195910022783,7.075406035206304e-05,0.00015244184967071997,0.6835081336656864,0.48158379373848986,8.20418146726168e-05,False
SOLUSDT,DOGEUSDT,down,1837,26034,0.00022590786932841564,-8.083379114872599e-05,0.00030674166047714164,1.7216689540746883,0.4763200870985302,-6.0616201887611945e-05,2536,26797,0.0002624693303264484,6.496661298219932e-05,0.0001975027173442491,0.9162619186237675,0.4952681388012618,8.20418146726168e-05,True
SOLUSDT,ETHUSDT,down,1981,25890,-0.00014926251435176327,-5.38333380408957e-05,-9.542917631086757e-05,-0.5571389476410122,0.48056537102473496,-6.0616201887611945e-05,2613,26720,3.0315214590745418e-05,8.710025801146147e-05,-5.678504342071605e-05,-0.27529002741178976,0.500956754688098,8.20418146726168e-05,True
SOLUSDT,XRPUSDT,down,1692,26179,-3.141992863271402e-05,-6.250321416261433e-05,3.108328552990031e-05,0.16215451685903792,0.5,-6.0616201887611945e-05,2465,26868,-8.769696785821341e-05,9.761446983632443e-05,-0.00018531143769453786,-0.8368482304673497,0.4876267748478702,8.20418146726168e-05,False
XRPUSDT,ADAUSDT,down,1934,26927,0.0002270736616688686,-3.0473578751577764e-05,0.00025754724042044636,1.3222141010147916,0.4906928645294726,-1.32151205216778e-05,2464,26887,0.0004090957883108568,0.000202542732871914,0.0002065530554389428,1.0871902161260185,0.5186688311688312,0.00021988274611172036,True
XRPUSDT,AVAXUSDT,down,1864,26997,-0.00011279232410577703,-6.339841509907564e-06,-0.00010645248259586947,-0.4664988465266098,0.49409871244635195,-1.32151205216778e-05,2640,26711,0.0003443058997594379,0.00020758529840740473,0.00013672060135203317,0.71608173915895,0.518560606060606,0.00021988274611172036,False
XRPUSDT,BTCUSDT,down,2162,26699,-0.0003763148889644425,1.6187542475934744e-05,-0.00039250243144037727,-3.0508340390720576,0.4671600370027752,-1.32151205216778e-05,2172,27179,0.0005471978778218206,0.0001937254752012991,0.00035347240262052147,1.7840451487373543,0.5165745856353591,0.00021988274611172036,False
XRPUSDT,DOGEUSDT,down,1880,26981,0.00012917520752220158,-2.3136688170115345e-05,0.00015231189569231692,0.9976861986271144,0.4968085106382979,-1.32151205216778e-05,2536,26815,0.0006282539216921762,0.00018126147811723826,0.00044699244357493796,2.251140622935145,0.5086750788643533,0.00021988274611172036,True
XRPUSDT,ETHUSDT,down,2006,26855,0.00021481886985958237,-3.0248677948779193e-05,0.00024506754780836157,1.3723357095476603,0.4950149551345962,-1.32151205216778e-05,2614,26737,0.0002419443968484113,0.00021772584163381667,2.4218555214594627e-05,0.11659140806143511,0.5275439938791124,0.00021988274611172036,True
XRPUSDT,SOLUSDT,down,2112,26749,0.00014609452217381372,-2.5793608142631023e-05,0.00017188813031644473,1.077871189506726,0.4971590909090909,-1.32151205216778e-05,2722,26629,0.00032404745226550813,0.00020923509392235497,0.00011481235834315316,0.6577613656864109,0.5146950771491551,0.00021988274611172036,True
ADAUSDT,AVAXUSDT,up,1866,22784,8.429548748288089e-05,-4.946085895712935e-05,0.00013375634644001024,0.7144123909734041,0.5316184351554126,-3.933553066272535e-05,2282,26485,0.00048461216150445124,-3.6527612299481173e-06,0.00048826492273439933,1.519754476821226,0.5241016652059597,3.5079833537664056e-05,True
ADAUSDT,BTCUSDT,up,1798,22852,3.720185026344207e-05,-4.5357507334581145e-05,8.255935759802322e-05,0.517749673457193,0.4972191323692992,-3.933553066272535e-05,1854,26913,-0.0002349406634003678,5.3681178661697426e-05,-0.00028862184206206523,-1.0231353537063588,0.4989212513484358,3.5079833537664056e-05,False
ADAUSDT,DOGEUSDT,up,1948,22702,-0.0001429109117584572,-3.0447994658210937e-05,-0.00011246291710024626,-0.6208047391515794,0.5123203285420944,-3.933553066272535e-05,2428,26339,-0.000282191462065787,6.432675656910712e-05,-0.00034651821863489413,-1.3942534372597302,0.5028830313014827,3.5079833537664056e-05,True
ADAUSDT,ETHUSDT,up,1700,22950,-0.00015834733647466772,-3.051984134332218e-05,-0.00012782749513134555,-0.7022679767194577,0.5029411764705882,-3.933553066272535e-05,2256,26511,-2.187638550878047e-05,3.992662280131986e-05,-6.180300831010033e-05,-0.3161029474587195,0.5031028368794326,3.5079833537664056e-05,True
ADAUSDT,SOLUSDT,up,1751,22899,-0.00010771424021112151,-3.410686913081382e-05,-7.360737108030768e-05,-0.3852023150663756,0.5105653912050258,-3.933553066272535e-05,2158,26609,0.0002500230737717031,1.7647855168501112e-05,0.00023237521860320197,0.8844476197987339,0.5055607043558851,3.5079833537664056e-05,False
ADAUSDT,XRPUSDT,up,1673,22977,-0.0002024272082764239,-2.7460508830122396e-05,-0.0001749666994463015,-0.9202097902317016,0.49252839210998206,-3.933553066272535e-05,1981,26786,0.00029233623465635546,1.6054039069802954e-05,0.0002762821955865525,0.8312286408957844,0.5164058556284705,3.5079833537664056e-05,False
AVAXUSDT,ADAUSDT,up,1685,18226,-0.0001293604478446228,3.730313818943727e-05,-0.00016666358603406007,-0.7377666222429546,0.49910979228486646,2.319896750652874e-05,2135,24380,0.0004914335826301058,1.7200076913763405e-05,0.0004742335057163424,1.6350894156337323,0.5306791569086651,5.5385576996900914e-05,False
AVAXUSDT,BTCUSDT,up,1418,18493,-2.300717196303671e-05,2.674194624269075e-05,-4.974911820572746e-05,-0.22744819679572215,0.502820874471086,2.319896750652874e-05,1711,24804,-0.0004737208897322375,9.188376940834887e-05,-0.0005656046591405863,-1.95225347213224,0.4827586206896552,5.5385576996900914e-05,True
