split,family,symbol,feature,observations,utc_day_clusters,coefficient,coefficient_bps,ci_lower,ci_upper,cluster_p_value,status
oos,construct_aggressor,BTCUSDT,run_intensity_zero,35040,365,-0.010997264729989886,,-0.030520395690741116,0.008525866230761342,0.2695774464043794,descriptive_no_family_decision
oos,construct_aggressor,DOGEUSDT,run_intensity_up,35033,365,0.0019062563985857049,,-0.007052633943902065,0.010865146741073474,0.6766509253106088,descriptive_no_family_decision
oos,construct_aggressor,DOGEUSDT,run_intensity_down,35033,365,-0.001875957459076976,,-0.010835704178315794,0.007083789260161843,0.681534730197785,descriptive_no_family_decision
oos,construct_aggressor,DOGEUSDT,run_intensity_zero,35033,365,0.007344303267674527,,-0.010504480474876501,0.025193087010225552,0.419969920613822,descriptive_no_family_decision
oos,construct_aggressor,ETHUSDT,run_intensity_up,35040,365,-0.041631418670013694,,-0.054749306828741566,-0.02851353051128582,4.964749365853401e-10,descriptive_no_family_decision
oos,construct_aggressor,ETHUSDT,run_intensity_down,35040,365,0.047805087761767354,,0.03516848508858797,0.06044169043494674,1.219271784761033e-13,descriptive_no_family_decision
oos,construct_aggressor,ETHUSDT,run_intensity_zero,35040,365,-0.012680859814813338,,-0.024156895870071138,-0.001204823759555539,0.03033160553949572,descriptive_no_family_decision
oos,construct_aggressor,SOLUSDT,run_intensity_up,35040,365,-0.041173166665584085,,-0.05115182266666282,-0.031194510664505348,6.112547924180808e-16,descriptive_no_family_decision
oos,construct_aggressor,SOLUSDT,run_intensity_down,35040,365,0.03879258250526912,,0.029628487140882356,0.04795667786965588,1.070123282908839e-16,descriptive_no_family_decision
oos,construct_aggressor,SOLUSDT,run_intensity_zero,35040,365,0.02201504936124641,,0.004647152350796747,0.03938294637169607,0.012977203734142965,descriptive_no_family_decision
oos,construct_aggressor,XRPUSDT,run_intensity_up,35040,365,0.0037369591326150008,,-0.0062600584533861175,0.013733976718616118,0.4637725142203072,descriptive_no_family_decision
oos,construct_aggressor,XRPUSDT,run_intensity_down,35040,365,0.007785397627764,,-0.001411729692496401,0.0169825249480244,0.09709246653162777,descriptive_no_family_decision
oos,construct_aggressor,XRPUSDT,run_intensity_zero,35040,365,0.011651201461749482,,-0.004996803910129372,0.028299206833628337,0.17015935005322436,descriptive_no_family_decision
oos,future_excess_return,ADAUSDT,run_intensity_up,33292,365,-0.000248670316059556,-2.4867031605955603,-0.0004786117103346031,-1.8728921784508912e-05,0.03403939451700042,descriptive_no_family_decision
oos,future_excess_return,ADAUSDT,run_intensity_down,33292,365,6.538054166611896e-05,0.6538054166611895,-0.00018971434730755523,0.0003204754306397931,0.615430746604491,descriptive_no_family_decision
oos,future_excess_return,ADAUSDT,run_intensity_zero,33292,365,0.0018268635115960006,18.268635115960006,-0.0016872680306993485,0.005340995053891349,0.30824530157678165,descriptive_no_family_decision
oos,future_excess_return,AVAXUSDT,run_intensity_up,24710,365,-2.6499433120855307e-05,-0.2649943312085531,-0.0005289862045499961,0.00047598733830828556,0.917675833072467,descriptive_no_family_decision
oos,future_excess_return,AVAXUSDT,run_intensity_down,24710,365,0.0007105245638453381,7.105245638453381,0.00013648509837977556,0.0012845640293109007,0.015267529852267158,descriptive_no_family_decision
oos,future_excess_return,AVAXUSDT,run_intensity_zero,24710,365,-0.001075495155329423,-10.75495155329423,-0.003872048909809403,0.001721058599150557,0.4509930433718149,descriptive_no_family_decision
oos,future_excess_return,BTCUSDT,run_intensity_up,35037,365,8.709456281701527e-05,0.8709456281701528,-0.00011190545049970771,0.00028609457613373824,0.39100292379068535,descriptive_no_family_decision
oos,future_excess_return,BTCUSDT,run_intensity_down,35037,365,-0.00015542224529262871,-1.5542224529262871,-0.0003555907998696085,4.474630928435108e-05,0.12805231877513085,descriptive_no_family_decision
oos,future_excess_return,BTCUSDT,run_intensity_zero,35037,365,5.38736223691875e-05,0.538736223691875,-0.0001980283163712726,0.0003057755611096476,0.6750900854011155,descriptive_no_family_decision
oos,future_excess_return,DOGEUSDT,run_intensity_up,35030,365,-0.00010635392970124258,-1.0635392970124258,-0.000245007584218382,3.229972481589686e-05,0.13273970421809542,descriptive_no_family_decision
