phase,dgp,scenario,observations,assets,weighting,market_mean,market_std,market_skew,market_excess_kurtosis,csad_mean,csad_std,corr_csad_market,corr_csad_abs_market,mean_weight_hhi,max_weight,repetitions
robustness,jump_diffusion_factor,n62_t1000_concentrated,1000,62,concentrated_static,4.3906537658975016e-05,0.01814339797162086,-0.0015388185526286702,3.3657471382390156,0.01763446314643156,0.0028371976334283793,0.00209355829106749,0.31831548307299284,0.20745901639344264,0.45,300
robustness,jump_diffusion_factor,n62_t2500_equal,2500,62,equal,-3.5674728606954736e-05,0.015786315190054155,0.00582810917617375,6.304303892566311,0.016156552373329955,0.001658342397797395,6.175142240473596e-05,0.23562547592954247,0.01612903225806452,0.01612903225806452,300
robustness,skewed_factor,n14_t1000_concentrated,1000,14,concentrated_static,-2.5580830771020457e-05,0.021592073432604504,1.7714293141906838,6.3461103818041575,0.018366979117828183,0.008011381596861235,0.4946378273212836,0.29924169702297293,0.2257692307692309,0.4500000000000001,300
robustness,skewed_factor,n14_t1000_equal,1000,14,equal,5.903456332831579e-06,0.019081540346650588,1.9944705710186224,8.114067856436467,0.017234834536696376,0.0060593881428748445,0.3503268119458002,0.06339676646285622,0.07142857142857142,0.07142857142857144,300
robustness,skewed_factor,n14_t1000_lagged,1000,14,lagged_lognormal_liquidity,1.3618970639880555e-07,0.01945151469220879,1.9329105846312598,7.97360394514547,0.01741714451019951,0.006259279153725869,0.37048155912524616,0.0873344097659527,0.09043633593094765,0.3817379729711265,300
robustness,skewed_factor,n14_t2500_equal,2500,14,equal,-4.348179337056019e-05,0.01906940411101643,2.077132570929922,9.432731196761374,0.017248873404658593,0.006070423433549726,0.35454722034931124,0.06496943725725483,0.07142857142857142,0.07142857142857144,300
robustness,skewed_factor,n14_t250_equal,250,14,equal,8.32960639874625e-05,0.019236518521384215,1.9150727943727315,7.34170128591092,0.01728637021534258,0.006097658610189278,0.3505827067372309,0.06244149201826308,0.07142857142857142,0.07142857142857144,300
robustness,skewed_factor,n50_t1000_equal,1000,50,equal,2.9824307828939643e-05,0.0183437117045271,2.3456951715277365,10.904910619405205,0.017650028851953582,0.003275997696284588,0.30134763820611377,0.13925650659669073,0.02000000000000001,0.02,300
robustness,skewed_factor,n50_t1000_lagged,1000,50,lagged_lognormal_liquidity,-5.917700437442847e-05,0.01832265043960119,2.2606220295929247,10.55492450898119,0.017693440678385488,0.003333551317167718,0.3093327259279328,0.12988499107190313,0.025981567248855905,0.18968889593729565,300
robustness,skewed_factor,n62_t1000_concentrated,1000,62,concentrated_static,-2.947733812799747e-06,0.021263814193587968,1.865222120107979,7.12198887503605,0.019215801263596736,0.006506376360184061,0.5388824293532918,0.39715360363585284,0.20745901639344264,0.45,300
robustness,skewed_factor,n62_t2500_equal,2500,62,equal,2.442233197548112e-05,0.01833269689363094,2.402045620596449,11.768457558862528,0.017675925728386103,0.0029665111021762638,0.30573837785614666,0.1662821770632743,0.01612903225806452,0.01612903225806452,300
robustness,stochastic_volatility_factor,n14_t1000_concentrated,1000,14,concentrated_static,8.111841252071505e-05,0.0249248340115806,0.04315981357272703,4.93124945264355,0.021095474448541186,0.012832847885012561,0.008762509941152134,0.5347177830823303,0.2257692307692309,0.4500000000000001,300
robustness,stochastic_volatility_factor,n14_t1000_equal,1000,14,equal,5.5406212182906856e-05,0.021824453386141807,0.023964813711092714,4.393986088179175,0.01941321687895041,0.011329047069429372,0.0012308840107439335,0.4987717832569133,0.07142857142857142,0.07142857142857144,300
robustness,stochastic_volatility_factor,n14_t1000_lagged,1000,14,lagged_lognormal_liquidity,-1.111724857112286e-05,0.022043059220401343,-0.005558019541518114,4.44295939097559,0.01962673914061847,0.011351626585199752,-0.002252489537828968,0.4972562383381839,0.09033919596754285,0.3812476299043852,300
