phase,dgp,scenario,observations,assets,weighting,model,repetitions,mean_target_coefficient,median_target_coefficient,target_coefficient_std,monte_carlo_standard_error,mean_ci_confidence,mean_ci_lower,mean_ci_upper,negative_coefficient_rate,raw_false_positive_rate,bh3_false_positive_rate,bh4_false_positive_rate,raw_wilson_ci_lower,raw_wilson_ci_upper,bh3_wilson_ci_lower,bh3_wilson_ci_upper,bh4_wilson_ci_lower,bh4_wilson_ci_upper,theoretical_target_coefficient,coefficient_bias,absolute_relative_error,theory_inside_mean_ci
robustness,common_factor,n14_t2500_equal,2500,14,equal,standard_csad,300,0.47452784117574426,0.4482186486725176,0.4966539059505346,0.02867432662946202,0.95,0.4180987830611461,0.5309568992903424,0.16,0.0,0.0,0.0,8.673617379884035e-19,0.012642971224546034,8.673617379884035e-19,0.012642971224546034,8.673617379884035e-19,0.012642971224546034,,,,False
robustness,common_factor,n14_t2500_equal,2500,14,equal,no_intercept_csad,300,-31.24724913209878,-31.221481789658217,3.4622699773442003,0.19989425034268332,0.95,-31.640626958023788,-30.853871306173772,1.0,1.0,1.0,1.0,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,,,,False
robustness,common_factor,n14_t2500_equal,2500,14,equal,intercept_restored,300,0.4734630885261741,0.44190864348095793,0.4974977064342659,0.02872304347310448,0.95,0.41693815908958876,0.5299880179627594,0.14666666666666667,0.0,,0.0,8.673617379884035e-19,0.012642971224546034,,,8.673617379884035e-19,0.012642971224546034,,,,False
robustness,common_factor,n14_t2500_equal,2500,14,equal,scsad,300,-366.0279881910255,-359.7434215867354,66.90695302972205,3.8628747342367666,0.95,-373.6298539884142,-358.4261223936368,1.0,1.0,1.0,1.0,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,,,,False
robustness,common_factor,n50_t1000_equal,1000,50,equal,standard_csad,300,0.5476668602465973,0.5254555093639566,0.4477418692752362,0.025850388875352383,0.95,0.4967951130219062,0.5985386074712884,0.1,0.0,0.0,0.0,8.673617379884035e-19,0.012642971224546034,8.673617379884035e-19,0.012642971224546034,8.673617379884035e-19,0.012642971224546034,,,,False
robustness,common_factor,n50_t1000_equal,1000,50,equal,no_intercept_csad,300,-35.701490226548984,-35.442176226522946,3.4854125697647986,0.20123038853906117,0.95,-36.09749747847261,-35.305482974625356,1.0,1.0,1.0,1.0,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,,,,False
robustness,common_factor,n50_t1000_equal,1000,50,equal,intercept_restored,300,0.5482962405445697,0.5371084046642354,0.4451290781295853,0.0256995393082246,0.95,0.4977213546585951,0.5988711264305443,0.09,0.0,,0.0,8.673617379884035e-19,0.012642971224546034,,,8.673617379884035e-19,0.012642971224546034,,,,False
robustness,common_factor,n50_t1000_equal,1000,50,equal,scsad,300,-450.0743362682738,-442.3366259945994,77.56724331944812,4.478346881078057,0.95,-458.887407963915,-441.26126457263257,1.0,1.0,1.0,1.0,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,,,,False
robustness,common_factor,n62_t2500_equal,2500,62,equal,standard_csad,300,0.5856548381833409,0.5650953070055955,0.2636869519366683,0.015223973268242734,0.95,0.5556951295077033,0.6156145468589784,0.0,0.0,0.0,0.0,8.673617379884035e-19,0.012642971224546034,8.673617379884035e-19,0.012642971224546034,8.673617379884035e-19,0.012642971224546034,,,,False
robustness,common_factor,n62_t2500_equal,2500,62,equal,no_intercept_csad,300,-35.6496828465653,-35.490761801193706,2.709354306862865,0.1564246438397347,0.95,-35.957515544150546,-35.34185014898005,1.0,1.0,1.0,1.0,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,,,,False
robustness,common_factor,n62_t2500_equal,2500,62,equal,intercept_restored,300,0.5858871665943599,0.5657902859054527,0.26467107115774685,0.015280791417963173,0.95,0.5558156437961461,0.6159586893925737,0.0,0.0,,0.0,8.673617379884035e-19,0.012642971224546034,,,8.673617379884035e-19,0.012642971224546034,,,,False
robustness,common_factor,n62_t2500_equal,2500,62,equal,scsad,300,-440.8525533829441,-435.5397270898323,58.28135149290958,3.364875397316654,0.95,-447.47439151003266,-434.23071525585556,1.0,1.0,1.0,1.0,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,,,,False
robustness,common_factor,n14_t1000_lagged,1000,14,lagged_lognormal_liquidity,standard_csad,300,0.596541827232536,0.595550852055679,0.7520826884692361,0.04342151426405709,0.95,0.5110913410365399,0.6819923134285322,0.19666666666666666,0.013333333333333334,0.013333333333333334,0.01,0.005196961739358857,0.03377553025253262,0.005196961739358857,0.03377553025253262,0.003406618437715286,0.02898349336233983,,,,False
robustness,common_factor,n14_t1000_lagged,1000,14,lagged_lognormal_liquidity,no_intercept_csad,300,-30.48798845800499,-30.319817028552364,4.191309882602334,0.24198538889775958,0.95,-30.964198684297283,-30.011778231712693,1.0,1.0,1.0,1.0,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,,,,False
robustness,common_factor,n14_t1000_lagged,1000,14,lagged_lognormal_liquidity,intercept_restored,300,0.6015480525009116,0.6027682673377999,0.7595336246991294,0.04385169426786145,0.95,0.5152510023123901,0.6878451026894331,0.19,0.01,,0.01,0.003406618437715286,0.02898349336233983,,,0.003406618437715286,0.02898349336233983,,,,False
robustness,common_factor,n14_t1000_lagged,1000,14,lagged_lognormal_liquidity,scsad,300,-358.22546096593095,-353.1567808838412,81.50175526661059,4.705506034260462,0.95,-367.48556589871964,-348.96535603314226,1.0,1.0,1.0,1.0,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,,,,False
robustness,common_factor,n50_t1000_lagged,1000,50,lagged_lognormal_liquidity,standard_csad,300,0.5447055383372165,0.5428707347009333,0.42445212187117515,0.02450575468204308,0.95,0.49647993663557893,0.5929311400388539,0.09666666666666666,0.0,0.0,0.0,8.673617379884035e-19,0.012642971224546034,8.673617379884035e-19,0.012642971224546034,8.673617379884035e-19,0.012642971224546034,,,,False
robustness,common_factor,n50_t1000_lagged,1000,50,lagged_lognormal_liquidity,no_intercept_csad,300,-34.90370704125337,-34.80262336294622,3.495753175594787,0.2018274036950139,0.95,-35.30088917701528,-34.50652490549146,1.0,1.0,1.0,1.0,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,,,,False
robustness,common_factor,n50_t1000_lagged,1000,50,lagged_lognormal_liquidity,intercept_restored,300,0.5471059357436844,0.5479517792743864,0.4277262499163384,0.02469478655286671,0.95,0.49850833261505406,0.5957035388723148,0.09666666666666666,0.0,,0.0,8.673617379884035e-19,0.012642971224546034,,,8.673617379884035e-19,0.012642971224546034,,,,False
robustness,common_factor,n50_t1000_lagged,1000,50,lagged_lognormal_liquidity,scsad,300,-432.97147166950845,-434.10557575249766,76.21843260473185,4.400473258155327,0.95,-441.6312935521624,-424.3116497868545,1.0,1.0,1.0,1.0,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,,,,False
robustness,common_factor,n14_t1000_concentrated,1000,14,concentrated_static,standard_csad,300,1.2606064447939458,1.2082986180349429,0.8270829773485574,0.04775165796143467,0.95,1.1666345403445626,1.354578349243329,0.05,0.0,0.0,0.0,8.673617379884035e-19,0.012642971224546034,8.673617379884035e-19,0.012642971224546034,8.673617379884035e-19,0.012642971224546034,,,,False
robustness,common_factor,n14_t1000_concentrated,1000,14,concentrated_static,no_intercept_csad,300,-25.421717859450247,-25.1839925766252,4.594833059507479,0.26528281037880347,0.95,-25.943775772687818,-24.899659946212676,1.0,1.0,1.0,1.0,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,,,,False
robustness,common_factor,n14_t1000_concentrated,1000,14,concentrated_static,intercept_restored,300,1.2642369027305744,1.2169633363208194,0.8290407612155343,0.04786469066569609,0.95,1.1700425578689004,1.3584312475922484,0.06333333333333334,0.0,,0.0,8.673617379884035e-19,0.012642971224546034,,,8.673617379884035e-19,0.012642971224546034,,,,False
