symbol,bucket_start,transaction_count_quintile,zero_tick_share_quintile,liquidity_quintile,transaction_count,zero_ticks,zero_runs,sampling_weight
ETHUSDT,2025-04-18 22:30:00+00:00,2,1,2,1681,395,202,1.0
SOLUSDT,2025-04-18 22:30:00+00:00,1,3,2,787,399,180,1.0
SOLUSDT,2025-04-18 23:15:00+00:00,2,5,3,1390,901,253,21.8625
BTCUSDT,2025-04-19 01:15:00+00:00,3,1,3,3106,838,402,1.0
DOGEUSDT,2025-04-19 04:00:00+00:00,3,4,2,1784,1015,359,10.075
ETHUSDT,2025-04-19 04:00:00+00:00,3,1,4,2981,729,317,19.05
BTCUSDT,2025-04-19 05:30:00+00:00,3,2,3,2305,1012,379,18.6125
DOGEUSDT,2025-04-19 07:30:00+00:00,2,5,1,1327,858,247,4.8875
ADAUSDT,2025-04-19 07:45:00+00:00,1,5,1,351,225,66,81.6375
BTCUSDT,2025-04-19 07:45:00+00:00,3,2,3,2559,1077,418,18.6125
ETHUSDT,2025-04-19 09:00:00+00:00,5,5,3,10102,7922,516,1.0
ETHUSDT,2025-04-19 09:15:00+00:00,4,5,3,5572,3895,411,1.325
ETHUSDT,2025-04-19 09:30:00+00:00,5,5,3,10325,7628,523,1.0
ETHUSDT,2025-04-19 09:45:00+00:00,5,5,3,8267,6288,471,1.0
ETHUSDT,2025-04-19 10:00:00+00:00,5,5,3,8959,6789,474,1.0
ETHUSDT,2025-04-19 10:15:00+00:00,5,5,4,12240,9422,609,1.0
ETHUSDT,2025-04-19 10:30:00+00:00,5,5,3,9188,6780,464,1.0
ETHUSDT,2025-04-19 10:45:00+00:00,3,4,2,3213,1866,364,1.0
ETHUSDT,2025-04-19 11:00:00+00:00,4,4,3,4116,2437,433,1.0
ETHUSDT,2025-04-19 11:15:00+00:00,5,5,3,8807,6909,462,1.0
ETHUSDT,2025-04-19 11:30:00+00:00,5,5,3,10062,8076,497,1.0
ETHUSDT,2025-04-19 11:45:00+00:00,4,5,2,6863,5642,369,1.325
ETHUSDT,2025-04-19 12:00:00+00:00,4,5,3,6763,5480,371,1.325
ETHUSDT,2025-04-19 12:15:00+00:00,5,5,3,9573,7974,443,1.0
ETHUSDT,2025-04-19 12:30:00+00:00,4,5,2,4971,3825,307,1.325
DOGEUSDT,2025-04-19 12:45:00+00:00,2,5,1,1156,821,153,4.8875
ETHUSDT,2025-04-19 12:45:00+00:00,5,5,3,8056,6547,389,1.0
ETHUSDT,2025-04-19 13:00:00+00:00,5,5,3,10712,8701,492,1.0
ETHUSDT,2025-04-19 13:15:00+00:00,5,5,3,11402,8879,558,1.0
ETHUSDT,2025-04-19 13:30:00+00:00,5,5,4,10148,8218,490,1.0
BTCUSDT,2025-04-19 13:45:00+00:00,4,2,5,5343,1920,705,104.35
ETHUSDT,2025-04-19 13:45:00+00:00,5,5,4,16601,13317,784,1.0
ETHUSDT,2025-04-19 14:00:00+00:00,5,5,4,17278,14056,764,1.0
ETHUSDT,2025-04-19 14:15:00+00:00,5,5,3,9318,7237,485,1.0
ETHUSDT,2025-04-19 14:30:00+00:00,4,5,3,4940,3186,389,1.325
XRPUSDT,2025-04-19 14:30:00+00:00,2,4,1,1028,551,237,31.5375
ETHUSDT,2025-04-19 14:45:00+00:00,5,5,3,11050,8745,515,1.0
ETHUSDT,2025-04-19 15:00:00+00:00,5,5,3,12685,10103,615,1.0
ETHUSDT,2025-04-19 15:15:00+00:00,5,5,4,14919,10514,852,1.0
XRPUSDT,2025-04-19 16:30:00+00:00,3,4,3,2082,1182,439,28.8375
ETHUSDT,2025-04-19 20:30:00+00:00,3,1,3,2592,594,285,19.05
DOGEUSDT,2025-04-19 20:45:00+00:00,1,4,1,764,463,137,16.3375
DOGEUSDT,2025-04-19 22:30:00+00:00,1,5,1,766,481,129,1.9625
BTCUSDT,2025-04-19 23:30:00+00:00,3,2,3,2647,984,405,18.6125
ETHUSDT,2025-04-20 02:15:00+00:00,3,3,3,3279,1582,386,1.15
ETHUSDT,2025-04-20 02:30:00+00:00,3,3,3,3085,1632,340,1.15
DOGEUSDT,2025-04-20 02:45:00+00:00,1,4,2,774,415,143,16.3375
ETHUSDT,2025-04-20 02:45:00+00:00,3,4,2,2824,1669,304,1.0
BTCUSDT,2025-04-20 03:30:00+00:00,3,2,3,2517,1030,390,18.6125
DOGEUSDT,2025-04-20 03:30:00+00:00,3,5,1,3061,2326,359,2.925
ETHUSDT,2025-04-20 03:45:00+00:00,3,2,3,2152,912,272,16.575
ETHUSDT,2025-04-20 04:00:00+00:00,2,3,3,1703,774,256,1.0
ETHUSDT,2025-04-20 04:45:00+00:00,3,3,3,2197,1033,269,1.15
XRPUSDT,2025-04-20 04:45:00+00:00,1,2,1,717,314,160,2.1125
BTCUSDT,2025-04-20 05:15:00+00:00,3,4,3,2548,1366,499,1.6125
ETHUSDT,2025-04-20 05:15:00+00:00,3,2,3,2001,821,242,16.575
ETHUSDT,2025-04-20 07:30:00+00:00,4,1,4,6531,1193,541,106.55
ETHUSDT,2025-04-20 07:45:00+00:00,4,1,4,4394,932,350,106.55
XRPUSDT,2025-04-20 08:00:00+00:00,2,5,3,1596,1050,299,7.925
